CUSTOMER_SK,GEOGRAPHIC_ID,POLICY_ID,PURCHASE_DATE,INSURANCE_PRODUCT,COVERAGE_AMOUNT,PREMIUM_AMOUNT
127,IN-26,I,20180106,policy1,601330,709
128,IN-19,G,20180106,policy1,803686,4586
129,IN-18,B,20180106,policy3,835773,2477
129,IN-18,B,20180106,policy3,835773,2477
130,IN-13,G,20180106,policy3,195500,4871
131,IN-29,G,20180106,policy3,365390,2878
132,IN-21,F,20180106,policy1,810140,3584
133,IN-22,B,20180106,policy3,127985,4188
133,IN-22,B,20180106,policy3,127985,4188
134,IN-8,I,20180106,policy1,256348,738
134,IN-8,I,20180106,policy1,256348,738
135,IN-12,G,20180106,policy1,760248,2402
135,IN-12,G,20180106,policy1,760248,2402
136,IN-21,B,20180106,policy2,974448,755
137,IN-15,G,20180106,policy3,308428,3111
138,IN-10,G,20180106,policy5,760445,1724
138,IN-10,G,20180106,policy5,760445,1724
138,IN-10,G,20180106,policy5,760445,1724
139,IN-4,B,20180106,policy2,724998,4544
140,IN-21,G,20180106,policy2,528979,4621
141,IN-34,G,20180106,policy3,892236,4696
141,IN-34,G,20180106,policy3,892236,4696
142,IN-10,F,20180106,policy2,242296,1959
142,IN-10,F,20180106,policy2,242296,1959
143,IN-14,G,20180106,policy5,79962,3637
143,IN-14,G,20180106,policy5,79962,3637
144,IN-10,B,20180106,policy2,952558,1721
144,IN-10,B,20180106,policy2,952558,1721
144,IN-10,B,20180106,policy2,952558,1721
145,IN-32,I,20180106,policy3,432111,2884
145,IN-32,I,20180106,policy3,432111,2884
146,IN-3,B,20180106,policy2,117942,1817
146,IN-3,B,20180106,policy2,117942,1817
146,IN-3,B,20180106,policy2,117942,1817
146,IN-3,B,20180106,policy2,117942,1817
147,IN-7,G,20180106,policy3,354106,1527
148,IN-32,G,20180106,policy1,823827,4584
149,IN-7,G,20180106,policy1,169205,2661
149,IN-7,G,20180106,policy1,169205,2661
149,IN-7,G,20180106,policy1,169205,2661
150,IN-17,B,20180106,policy1,981999,2267
150,IN-17,B,20180106,policy1,981999,2267
150,IN-17,B,20180106,policy1,981999,2267
151,IN-15,I,20180106,policy1,371869,3948
152,IN-14,I,20180106,policy1,859331,2127
153,IN-21,F,20180106,policy1,500671,4719
154,IN-1,B,20180106,policy4,641011,1290
155,IN-16,G,20180106,policy5,745099,2178
155,IN-16,G,20180106,policy5,745099,2178
155,IN-16,G,20180106,policy5,745099,2178
155,IN-16,G,20180106,policy5,745099,2178
156,IN-13,B,20180106,policy2,914964,2092
156,IN-13,B,20180106,policy2,914964,2092
156,IN-13,B,20180106,policy2,914964,2092
156,IN-13,B,20180106,policy2,914964,2092
157,IN-10,G,20180106,policy2,530083,4568
157,IN-10,G,20180106,policy2,530083,4568
157,IN-10,G,20180106,policy2,530083,4568
158,IN-34,I,20180106,policy5,398961,4897
158,IN-34,I,20180106,policy5,398961,4897
158,IN-34,I,20180106,policy5,398961,4897
159,IN-4,B,20180106,policy1,381174,1737
160,IN-2,G,20180106,policy2,324139,2616
161,IN-35,B,20180106,policy1,833740,2343
161,IN-35,B,20180106,policy1,833740,2343
162,IN-22,F,20180106,policy2,403530,4122
162,IN-22,F,20180106,policy2,403530,4122
163,IN-20,B,20180106,policy3,968599,3408
163,IN-20,B,20180106,policy3,968599,3408
163,IN-20,B,20180106,policy3,968599,3408
164,IN-28,G,20180106,policy2,263734,3732
165,IN-11,B,20180106,policy1,951047,4745
165,IN-11,B,20180106,policy1,951047,4745
166,IN-35,I,20180106,policy2,595788,1753
166,IN-35,I,20180106,policy2,595788,1753
167,IN-30,G,20180106,policy1,577989,3444
168,IN-21,G,20180106,policy4,303023,4730
168,IN-21,G,20180106,policy4,303023,4730
168,IN-21,G,20180106,policy4,303023,4730
169,IN-22,B,20180106,policy2,548031,1811
170,IN-14,I,20180106,policy2,139202,3938
171,IN-9,F,20180106,policy5,304953,1647
171,IN-9,F,20180106,policy5,304953,1647
171,IN-9,F,20180106,policy5,304953,1647
172,IN-21,G,20180106,policy3,203598,3577
173,IN-6,B,20180106,policy1,962808,3562
174,IN-12,B,20180106,policy4,135048,3661
174,IN-12,B,20180106,policy4,135048,3661
175,IN-22,B,20180106,policy1,891136,4320
175,IN-22,B,20180106,policy1,891136,4320
176,IN-28,F,20180106,policy3,205010,3560
177,IN-3,G,20180106,policy2,78239,3601
178,IN-26,F,20180106,policy1,839599,1448
178,IN-26,F,20180106,policy1,839599,1448
179,IN-15,F,20180106,policy1,275359,2195
180,IN-25,G,20180106,policy5,860493,2594
181,IN-10,B,20180107,policy3,779875,1638
181,IN-10,B,20180107,policy3,779875,1638
181,IN-10,B,20180107,policy3,779875,1638
182,IN-2,I,20180107,policy3,793486,4396
182,IN-2,I,20180107,policy3,793486,4396
182,IN-2,I,20180107,policy3,793486,4396
183,IN-18,F,20180107,policy1,182306,3103
183,IN-18,F,20180107,policy1,182306,3103
184,IN-26,I,20180107,policy1,701204,1565
184,IN-26,I,20180107,policy1,701204,1565
185,IN-28,F,20180107,policy1,925056,4609
186,IN-34,G,20180107,policy4,986229,4823
186,IN-34,G,20180107,policy4,986229,4823
187,IN-11,I,20180107,policy5,381298,2131
188,IN-33,B,20180107,policy5,606587,1197
189,IN-23,G,20180107,policy5,119423,1263
189,IN-23,G,20180107,policy5,119423,1263
190,IN-12,I,20180107,policy5,300308,3519
190,IN-12,I,20180107,policy5,300308,3519
191,IN-8,G,20180107,policy4,320409,3322
192,IN-20,B,20180107,policy5,185476,1859
192,IN-20,B,20180107,policy5,185476,1859
193,IN-24,B,20180107,policy4,130554,1573
193,IN-24,B,20180107,policy4,130554,1573
193,IN-24,B,20180107,policy4,130554,1573
194,IN-10,G,20180107,policy3,584590,1164
195,IN-6,B,20180107,policy3,291716,3422
195,IN-6,B,20180107,policy3,291716,3422
195,IN-6,B,20180107,policy3,291716,3422
196,IN-8,G,20180107,policy4,196399,1676
197,IN-35,G,20180107,policy4,344597,1396
198,IN-29,F,20180107,policy2,169848,1170
199,IN-29,B,20180107,policy5,97809,3584
199,IN-29,B,20180107,policy5,97809,3584
199,IN-29,B,20180107,policy5,97809,3584
199,IN-29,B,20180107,policy5,97809,3584
200,IN-10,G,20180107,policy3,260939,1810
200,IN-10,G,20180107,policy3,260939,1810
201,IN-25,G,20180107,policy5,181969,3436
202,IN-12,G,20180107,policy1,939525,4898
203,IN-14,B,20180107,policy5,610160,1251
204,IN-2,B,20180107,policy3,217995,1160
204,IN-2,B,20180107,policy3,217995,1160
205,IN-11,G,20180107,policy4,259217,1569
206,IN-26,I,20180107,policy5,268425,1894
206,IN-26,I,20180107,policy5,268425,1894
207,IN-23,G,20180107,policy1,406131,3468
207,IN-23,G,20180107,policy1,406131,3468
208,IN-28,F,20180107,policy1,427779,4262
209,IN-25,B,20180107,policy1,350337,4543
209,IN-25,B,20180107,policy1,350337,4543
210,IN-2,B,20180107,policy1,814865,1174
211,IN-12,B,20180107,policy3,742242,2845
212,IN-15,G,20180107,policy3,488210,3044
212,IN-15,G,20180107,policy3,488210,3044
213,IN-3,G,20180107,policy5,484794,1792
214,IN-29,I,20180107,policy1,749005,2809
215,IN-15,I,20180107,policy5,448987,4583
216,IN-11,G,20180108,policy1,410870,3975
217,IN-33,B,20180108,policy2,710075,2073
218,IN-4,B,20180108,policy4,385961,4766
219,IN-16,G,20180108,policy2,810924,3297
220,IN-17,B,20180108,policy2,191894,1749
221,IN-8,B,20180108,policy1,302765,4909
222,IN-21,B,20180108,policy1,975548,3117
222,IN-21,B,20180108,policy1,975548,3117
223,IN-10,F,20180108,policy2,421727,3531
223,IN-10,F,20180108,policy2,421727,3531
224,IN-8,B,20180108,policy1,171185,1735
224,IN-8,B,20180108,policy1,171185,1735
224,IN-8,B,20180108,policy1,171185,1735
225,IN-22,F,20180108,policy5,404477,3523
226,IN-34,F,20180108,policy3,410943,3023
226,IN-34,F,20180108,policy3,410943,3023
227,IN-11,B,20180108,policy1,172272,4559
228,IN-9,F,20180108,policy5,740414,2956
229,IN-25,I,20180108,policy2,182613,3433
229,IN-25,I,20180108,policy2,182613,3433
230,IN-5,G,20180108,policy1,206097,4508
230,IN-5,G,20180108,policy1,206097,4508
230,IN-5,G,20180108,policy1,206097,4508
231,IN-23,G,20180109,policy2,568373,4005
231,IN-23,G,20180109,policy2,568373,4005
232,IN-14,G,20180109,policy2,772577,4612
232,IN-14,G,20180109,policy2,772577,4612
233,IN-12,I,20180109,policy3,505641,1554
233,IN-12,I,20180109,policy3,505641,1554
234,IN-8,I,20180109,policy2,247603,3214
234,IN-8,I,20180109,policy2,247603,3214
235,IN-7,B,20180109,policy1,136196,4169
235,IN-7,B,20180109,policy1,136196,4169
236,IN-22,B,20180109,policy3,386913,2256
237,IN-9,B,20180109,policy1,833406,3545
238,IN-9,B,20180109,policy5,542642,4595
238,IN-9,B,20180109,policy5,542642,4595
239,IN-18,G,20180109,policy1,76089,4589
240,IN-30,G,20180109,policy3,297792,3948
240,IN-30,G,20180109,policy3,297792,3948
241,IN-34,G,20180109,policy3,481907,3469
241,IN-34,G,20180109,policy3,481907,3469
242,IN-25,B,20180109,policy1,457338,3114
243,IN-24,G,20180109,policy1,156301,1721
243,IN-24,G,20180109,policy1,156301,1721
244,IN-33,I,20180109,policy5,130262,1688
245,IN-12,B,20180109,policy5,807974,2411
246,IN-24,B,20180109,policy3,288603,3863
246,IN-24,B,20180109,policy3,288603,3863
246,IN-24,B,20180109,policy3,288603,3863
247,IN-14,G,20180109,policy2,503284,4956
248,IN-20,G,20180109,policy4,170498,3843
249,IN-5,F,20180109,policy4,522643,3960
249,IN-5,F,20180109,policy4,522643,3960
250,IN-20,G,20180109,policy1,151554,3642
250,IN-20,G,20180109,policy1,151554,3642
251,IN-1,G,20180109,policy5,889962,2620
252,IN-3,I,20180109,policy2,962232,1812
253,IN-18,G,20180109,policy4,785077,4416
253,IN-18,G,20180109,policy4,785077,4416
254,IN-17,F,20180109,policy1,767349,4828
254,IN-17,F,20180109,policy1,767349,4828
255,IN-6,G,20180110,policy2,731311,2557
256,IN-25,I,20180110,policy3,506548,3571
257,IN-22,B,20180110,policy1,540991,1608
258,IN-18,F,20180110,policy4,102321,3347
259,IN-21,F,20180110,policy2,187968,1109
259,IN-21,F,20180110,policy2,187968,1109
260,IN-12,B,20180110,policy4,81562,4541
260,IN-12,B,20180110,policy4,81562,4541
261,IN-11,F,20180110,policy5,163186,3260
261,IN-11,F,20180110,policy5,163186,3260
262,IN-3,B,20180110,policy1,360821,3550
262,IN-3,B,20180110,policy1,360821,3550
263,IN-32,B,20180110,policy2,546035,532
264,IN-22,G,20180110,policy1,661860,3201
264,IN-22,G,20180110,policy1,661860,3201
265,IN-18,F,20180110,policy2,544585,2956
265,IN-18,F,20180110,policy2,544585,2956
266,IN-3,B,20180110,policy2,289275,4442
267,IN-22,B,20180110,policy4,277800,4409
267,IN-22,B,20180110,policy4,277800,4409
268,IN-27,F,20180110,policy5,384570,3444
268,IN-27,F,20180110,policy5,384570,3444
269,IN-11,G,20180110,policy4,486450,2287
269,IN-11,G,20180110,policy4,486450,2287
270,IN-8,G,20180110,policy2,830537,3496
271,IN-5,B,20180110,policy5,179998,4257
272,IN-11,F,20180110,policy2,617241,4367
273,IN-18,G,20180110,policy4,352266,3250
273,IN-18,G,20180110,policy4,352266,3250
274,IN-31,B,20180110,policy5,277985,4616
274,IN-31,B,20180110,policy5,277985,4616
274,IN-31,B,20180110,policy5,277985,4616
274,IN-31,B,20180110,policy5,277985,4616
275,IN-7,G,20180110,policy2,319452,1847
275,IN-7,G,20180110,policy2,319452,1847
275,IN-7,G,20180110,policy2,319452,1847
275,IN-7,G,20180110,policy2,319452,1847
276,IN-29,I,20180110,policy4,308379,3611
276,IN-29,I,20180110,policy4,308379,3611
277,IN-32,B,20180110,policy2,129181,2400
277,IN-32,B,20180110,policy2,129181,2400
277,IN-32,B,20180110,policy2,129181,2400
278,IN-33,B,20180110,policy1,500079,4543
279,IN-24,B,20180110,policy2,272158,4262
280,IN-13,G,20180110,policy5,315829,3491
281,IN-35,F,20180110,policy1,141511,4478
281,IN-35,F,20180110,policy1,141511,4478
282,IN-18,I,20180110,policy5,661345,1780
282,IN-18,I,20180110,policy5,661345,1780
282,IN-18,I,20180110,policy5,661345,1780
283,IN-12,G,20180110,policy5,109571,4826
284,IN-35,B,20180110,policy4,406030,2452
284,IN-35,B,20180110,policy4,406030,2452
285,IN-20,F,20180110,policy3,186358,1517
286,IN-18,F,20180110,policy5,437924,2936
286,IN-18,F,20180110,policy5,437924,2936
286,IN-18,F,20180110,policy5,437924,2936
286,IN-18,F,20180110,policy5,437924,2936
287,IN-6,F,20180110,policy3,503173,1867
287,IN-6,F,20180110,policy3,503173,1867
288,IN-10,F,20180110,policy5,960315,3468
289,IN-13,G,20180110,policy5,183790,3855
290,IN-10,G,20180110,policy5,324746,4093
291,IN-6,B,20180110,policy2,461345,3427
292,IN-30,G,20180110,policy1,160839,4434
292,IN-30,G,20180110,policy1,160839,4434
292,IN-30,G,20180110,policy1,160839,4434
293,IN-14,F,20180110,policy3,155420,2992
293,IN-14,F,20180110,policy3,155420,2992
294,IN-9,G,20180110,policy5,784154,3485
295,IN-13,F,20180110,policy5,367172,2838
295,IN-13,F,20180110,policy5,367172,2838
296,IN-22,F,20180110,policy1,295790,3847
297,IN-25,F,20180110,policy1,69941,2125
298,IN-20,B,20180110,policy3,514973,3581
299,IN-13,F,20180111,policy2,545848,4032
300,IN-22,G,20180111,policy2,296386,4561
301,IN-2,B,20180111,policy2,942866,3445
302,IN-9,I,20180111,policy4,287652,3685
303,IN-21,F,20180111,policy1,140482,1642
303,IN-21,F,20180111,policy1,140482,1642
304,IN-14,B,20180111,policy4,960111,3494
304,IN-14,B,20180111,policy4,960111,3494
304,IN-14,B,20180111,policy4,960111,3494
304,IN-14,B,20180111,policy4,960111,3494
305,IN-15,G,20180111,policy4,558492,3102
305,IN-15,G,20180111,policy4,558492,3102
306,IN-2,G,20180111,policy2,142567,2540
307,IN-9,I,20180111,policy3,338585,3115
308,IN-9,B,20180111,policy4,820296,3712
308,IN-9,B,20180111,policy4,820296,3712
309,IN-11,F,20180111,policy2,380533,4447
309,IN-11,F,20180111,policy2,380533,4447
310,IN-21,F,20180111,policy1,472911,3455
311,IN-11,I,20180111,policy2,833876,3587
311,IN-11,I,20180111,policy2,833876,3587
311,IN-11,I,20180111,policy2,833876,3587
312,IN-32,G,20180111,policy2,105332,3660
312,IN-32,G,20180111,policy2,105332,3660
313,IN-10,B,20180111,policy2,701454,2303
313,IN-10,B,20180111,policy2,701454,2303
313,IN-10,B,20180111,policy2,701454,2303
314,IN-9,F,20180111,policy2,538389,4025
315,IN-16,B,20180111,policy2,870872,2783
316,IN-30,B,20180111,policy1,633086,2754
317,IN-9,F,20180111,policy5,902605,1395
318,IN-1,F,20180111,policy3,952395,1818
318,IN-1,F,20180111,policy3,952395,1818
319,IN-19,F,20180111,policy1,632760,4519
320,IN-19,B,20180111,policy5,601418,4490
321,IN-25,G,20180111,policy5,938601,3464
322,IN-34,F,20180111,policy2,894115,931
323,IN-14,B,20180111,policy3,874998,3592
324,IN-13,G,20180111,policy1,517373,2470
325,IN-14,B,20180111,policy5,444196,3497
326,IN-2,B,20180111,policy5,169689,3576
327,IN-26,G,20180111,policy2,679512,1961
328,IN-10,B,20180111,policy4,392939,2012
329,IN-22,F,20180111,policy5,767317,4549
329,IN-22,F,20180111,policy5,767317,4549
330,IN-16,G,20180112,policy3,547920,3701
331,IN-22,G,20180112,policy4,429260,1133
332,IN-31,I,20180112,policy2,323892,1805
332,IN-31,I,20180112,policy2,323892,1805
332,IN-31,I,20180112,policy2,323892,1805
332,IN-31,I,20180112,policy2,323892,1805
333,IN-1,I,20180112,policy4,889638,3332
334,IN-21,B,20180112,policy4,982958,4541
334,IN-21,B,20180112,policy4,982958,4541
335,IN-33,I,20180112,policy2,952191,3465
336,IN-4,I,20180112,policy1,457539,2804
336,IN-4,I,20180112,policy1,457539,2804
337,IN-8,I,20180112,policy2,325567,3849
338,IN-10,B,20180112,policy5,365800,3090
338,IN-10,B,20180112,policy5,365800,3090
339,IN-21,F,20180112,policy4,242085,1238
340,IN-15,F,20180112,policy1,477504,636
341,IN-4,I,20180112,policy3,121340,4034
342,IN-4,B,20180112,policy1,149197,2651
342,IN-4,B,20180112,policy1,149197,2651
343,IN-17,G,20180112,policy2,221302,3553
344,IN-6,I,20180112,policy2,940124,1794
345,IN-19,G,20180112,policy4,554174,2492
346,IN-13,F,20180112,policy2,157980,3643
347,IN-1,G,20180112,policy4,634753,4366
348,IN-34,B,20180112,policy4,328023,4535
349,IN-31,G,20180112,policy4,404226,4493
349,IN-31,G,20180112,policy4,404226,4493
349,IN-31,G,20180112,policy4,404226,4493
350,IN-14,G,20180112,policy1,877265,1937
350,IN-14,G,20180112,policy1,877265,1937
350,IN-14,G,20180112,policy1,877265,1937
351,IN-32,F,20180112,policy5,909217,1321
352,IN-1,B,20180112,policy2,822217,878
353,IN-11,I,20180112,policy1,94870,3414
354,IN-15,B,20180113,policy2,938738,4509
354,IN-15,B,20180113,policy2,938738,4509
355,IN-28,G,20180113,policy1,244069,1281
355,IN-28,G,20180113,policy1,244069,1281
356,IN-34,B,20180113,policy3,390263,2327
357,IN-22,B,20180113,policy1,487287,3842
358,IN-20,B,20180113,policy3,904004,1568
359,IN-16,I,20180113,policy2,387906,3856
360,IN-32,I,20180113,policy4,252587,4615
360,IN-32,I,20180113,policy4,252587,4615
361,IN-12,I,20180113,policy4,606411,4040
362,IN-24,F,20180113,policy3,303861,1643
363,IN-30,F,20180113,policy2,153685,1483
363,IN-30,F,20180113,policy2,153685,1483
363,IN-30,F,20180113,policy2,153685,1483
364,IN-11,I,20180113,policy1,780008,4212
365,IN-8,F,20180113,policy3,621121,3517
366,IN-11,G,20180113,policy1,805678,3403
366,IN-11,G,20180113,policy1,805678,3403
367,IN-7,G,20180113,policy1,320554,2789
368,IN-29,B,20180113,policy5,790228,927
369,IN-17,G,20180113,policy1,583733,1959
